departamento;municipio;divipola;entidad;pr;icount;clasificacion;latitud;longitud
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;25;3;Muy Bajo;8.879357;-73.831816
CESAR;BOSCONIA;20060;ANI;76;6;Muy Bajo;9.888039;-73.830242
CESAR;BOSCONIA;20060;ANI;32;7;Bajo;10.000465;-73.829523
CESAR;ASTREA;20032;INVIAS-OTROS;12;3;Muy Bajo;9.62647;-73.82186
SANTANDER;BARRANCABERMEJA;68081;ANI;4;3;Muy Bajo;7.043524;-73.818913
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;27;2;Muy Bajo;8.869658;-73.81834
CESAR;BOSCONIA;20060;ANI;34;11;Bajo;10.008855;-73.816278
MAGDALENA;SANTA MARTA;47001;ANI;44;3;Muy Bajo;11.248942;-73.80827
CESAR;BOSCONIA;20060;ANI;72;12;Bajo;9.850031;-73.805275
CESAR;BOSCONIA;20060;ANI;36;5;Muy Bajo;10.016064;-73.80526
CESAR;BOSCONIA;20060;ANI;38;9;Bajo;10.032077;-73.798428
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;29;2;Muy Bajo;8.869658;-73.798256
SANTANDER;BARRANCABERMEJA;68081;ANI;6;8;Bajo;7.047472;-73.796797
CESAR;BOSCONIA;20060;ANI;70;7;Bajo;9.832899;-73.793915
CESAR;EL PASO;20250;INVIAS-OTROS;16;2;Muy Bajo;9.641791;-73.793793
CESAR;VALLEDUPAR;20001;ANI;40;17;Medio;10.047364;-73.790396
BOYACÁ;SABOYÁ;15632;INVIAS-OTROS;57;3;Muy Bajo;5.656457;-73.788986
CESAR;EL PASO;20250;ANI;68;5;Muy Bajo;9.820876;-73.783622
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;32;6;Muy Bajo;8.87752;-73.778824
CESAR;VALLEDUPAR;20001;ANI;42;10;Bajo;10.058524;-73.778154
CESAR;EL PASO;20250;INVIAS-OTROS;18;3;Muy Bajo;9.651404;-73.777599
CESAR;VALLEDUPAR;20001;ANI;44;17;Medio;10.070081;-73.770747
CESAR;EL PASO;20250;ANI;66;9;Bajo;9.806665;-73.770484
CESAR;EL PASO;20250;INVIAS-OTROS;20;4;Muy Bajo;9.661102;-73.765183
SANTANDER;BARRANCABERMEJA;68081;ANI;12;8;Bajo;7.047547;-73.75454
CESAR;VALLEDUPAR;20001;ANI;46;5;Muy Bajo;10.075716;-73.754482
CESAR;EL PASO;20250;ANI;62;7;Bajo;9.78894;-73.754311
MAGDALENA;SANTA MARTA;47001;ANI;50;8;Bajo;11.249622;-73.752846
CESAR;EL PASO;20250;ANI;62;3;Muy Bajo;9.778948;-73.745327
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;35;4;Muy Bajo;8.877154;-73.744068
MAGDALENA;SANTA MARTA;47001;ANI;52;5;Muy Bajo;11.246309;-73.737042
CESAR;EL PASO;20250;ANI;60;6;Muy Bajo;9.767819;-73.735314
CESAR;EL PASO;20250;INVIAS-OTROS;28;6;Muy Bajo;9.706736;-73.732681
CESAR;VALLEDUPAR;20001;ANI;50;9;Bajo;10.092735;-73.729324
CESAR;EL PASO;20250;ANI;58;6;Muy Bajo;9.756832;-73.725128
MAGDALENA;SANTA MARTA;47001;ANI;54;6;Muy Bajo;11.242941;-73.722596
CESAR;VALLEDUPAR;20001;ANI;50;7;Bajo;10.099508;-73.719601
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;39;6;Muy Bajo;8.876438;-73.716331
CESAR;EL PASO;20250;ANI;30;3;Muy Bajo;9.733629;-73.714771
CUNDINAMARCA;CHOCONTÁ;25183;ANI;1;4;Muy Bajo;5.098772;-73.711138
MAGDALENA;SANTA MARTA;47001;ANI;56;3;Muy Bajo;11.240702;-73.707676
SANTANDER;BARRANCABERMEJA;68081;ANI;20;4;Muy Bajo;7.089916;-73.707104
CESAR;VALLEDUPAR;20001;ANI;52;9;Bajo;10.106857;-73.706145
CESAR;EL PASO;20250;ANI;54;2;Muy Bajo;9.728565;-73.700409
SANTANDER;BARRANCABERMEJA;68081;ANI;22;2;Muy Bajo;7.099743;-73.691654
CESAR;VALLEDUPAR;20001;ANI;54;11;Bajo;10.11574;-73.690767
CESAR;EL PASO;20250;ANI;52;3;Muy Bajo;9.713259;-73.690167
CESAR;PELAYA;20550;INVIAS-OTROS;21;4;Muy Bajo;8.784728;-73.6835
CESAR;PELAYA;20550;INVIAS-OTROS;19;14;Bajo;8.764382;-73.68346
CESAR;PELAYA;20550;INVIAS-OTROS;17;3;Muy Bajo;8.747492;-73.681469
CESAR;PELAYA;20550;INVIAS-OTROS;23;4;Muy Bajo;8.798075;-73.681011
CESAR;EL PASO;20250;ANI;50;4;Muy Bajo;9.698739;-73.680411
SANTANDER;BARRANCABERMEJA;68081;ANI;22;9;Bajo;7.10351;-73.679295
CESAR;PELAYA;20550;INVIAS-OTROS;25;3;Muy Bajo;8.814769;-73.678093
CESAR;PELAYA;20550;INVIAS-OTROS;15;5;Muy Bajo;8.730383;-73.676548
MAGDALENA;SANTA MARTA;47001;ANI;60;8;Bajo;11.24485;-73.673687
CESAR;EL PASO;20250;ANI;48;2;Muy Bajo;9.687281;-73.672772
CESAR;VALLEDUPAR;20001;ANI;56;4;Muy Bajo;10.125618;-73.672514
CESAR;PELAYA;20550;INVIAS-OTROS;13;3;Muy Bajo;8.710184;-73.672428
CESAR;PAILITAS;20517;INVIAS-OTROS;31;4;Muy Bajo;8.875866;-73.67054
CESAR;EL PASO;20250;ANI;46;3;Muy Bajo;9.675036;-73.664417
SANTANDER;BARRANCABERMEJA;68081;ANI;24;8;Bajo;7.106438;-73.663373
SANTANDER;BARRANCABERMEJA;68081;INVIAS-OTROS;141;2;Muy Bajo;7.047301;-73.657494
CESAR;VALLEDUPAR;20001;ANI;59;6;Muy Bajo;10.13639;-73.657065
MAGDALENA;SANTA MARTA;47001;ANI;62;8;Bajo;11.252918;-73.655892
CESAR;EL PASO;20250;ANI;44;2;Muy Bajo;9.656897;-73.652172
CESAR;CURUMANÍ;20228;INVIAS-OTROS;57;4;Muy Bajo;9.098783;-73.649769
CESAR;PELAYA;20550;INVIAS-OTROS;5;6;Muy Bajo;8.658772;-73.64954
CESAR;CURUMANÍ;20228;INVIAS-OTROS;61;2;Muy Bajo;9.129896;-73.649082
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;53;7;Bajo;9.062262;-73.646826
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;51;10;Bajo;9.04645;-73.641873
CESAR;LA GLORIA;20383;INVIAS-OTROS;90;3;Muy Bajo;8.512831;-73.639813
CESAR;LA GLORIA;20383;INVIAS-OTROS;92;3;Muy Bajo;8.527765;-73.639241
CESAR;LA GLORIA;20383;INVIAS-OTROS;92;3;Muy Bajo;8.544131;-73.638668
CESAR;LA GLORIA;20383;INVIAS-OTROS;3;2;Muy Bajo;8.640662;-73.638439
CESAR;LA GLORIA;20383;INVIAS-OTROS;94;4;Muy Bajo;8.559208;-73.637924
SANTANDER;BARRANCABERMEJA;68081;ANI;28;9;Bajo;7.113962;-73.637753
CESAR;LA GLORIA;20383;INVIAS-OTROS;96;3;Muy Bajo;8.580752;-73.637181
CESAR;AGUACHICA;20011;INVIAS-OTROS;86;3;Muy Bajo;8.482619;-73.636723
CESAR;LA GLORIA;20383;INVIAS-OTROS;1;8;Bajo;8.626046;-73.636404
CESAR;LA GLORIA;20383;INVIAS-OTROS;98;2;Muy Bajo;8.59603;-73.636208
